"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Class"
0.9999999,54,0,0,1666,1,0,0,0,0,"0"
0.497080234,40,0,0.510354677,4200,8,0,2,0,3,"0"
0.797680928,40,1,0.047541517,3070,6,0,0,0,2,"0"
0.043304109,61,0,244,NA,14,0,0,0,0,"0"
0.810945274,49,0,4,NA,1,0,0,0,0,"0"
0.404397069,22,0,0.021924482,820,2,0,0,0,0,"0"
0.077908693,40,1,0.438969765,6250,10,0,1,2,1,"0"
0.628397854,45,0,0.282328959,7848,13,0,2,0,0,"0"
1.007324091,50,2,0.651493996,3580,14,0,2,0,0,"0"
0.9999999,37,2,0.16297043,2975,1,1,0,1,1,"0"
0.959946204,61,0,0.641474935,6562,11,0,0,0,1,"0"
0.710415812,45,0,0.380098397,6300,8,0,1,0,3,"0"
0.863101526,53,0,0.197143361,5670,4,0,0,0,0,"0"
0.429076645,47,0,0.455773561,3108,4,0,0,0,0,"0"
0.052080724,42,0,0.012879789,9083,18,0,0,0,0,"0"
0.971805639,27,0,0.434885556,3800,4,0,1,0,0,"0"
0.030891478,77,0,0.085681426,5216,8,0,0,0,0,"0"
0.268970803,62,0,0.351549484,3000,13,1,1,0,0,"0"
0.340787608,40,0,0.146723371,5172,5,0,0,0,1,"0"
0.044498517,78,0,0.15352144,4500,6,0,0,0,1,"0"
0.370077477,63,0,0.294135293,6666,19,0,2,0,1,"0"
0.836363233,62,0,0.351421727,9600,9,0,1,0,1,"0"
0.013559729,53,0,0.181619853,7333,14,0,2,0,2,"0"
0.921026325,61,0,1.151241535,3100,14,0,3,0,0,"0"
0.147368662,78,0,0.068977008,3000,11,0,0,0,0,"0"
0.024510566,78,0,2372,NA,7,0,1,0,0,"0"
0.014449278,77,0,0.12417154,5129,6,0,1,0,0,"0"
0.275845476,38,0,0.469404079,7500,16,0,1,0,0,"0"
0.039799276,50,0,0.177809902,8300,8,0,1,0,3,"0"
0.035950628,55,1,1562,NA,8,0,1,0,2,"0"
0.012093087,59,0,0.118564653,17500,14,0,1,0,1,"0"
0.700245335,34,0,0.46597248,2688,8,0,0,0,3,"0"
0.355919869,74,0,0.900253593,1182,9,0,1,0,0,"0"
0.80141844,28,1,0.196267911,3000,5,0,0,2,0,"0"
0.033237299,62,0,0.118470382,4000,5,0,0,0,0,"0"
0.800807588,63,0,0.348757498,3500,8,0,0,0,0,"0"
0.049283954,56,0,0.744127936,2000,8,0,1,0,0,"0"
0,63,0,0.289673821,5916,8,0,1,0,1,"0"
0.512756771,32,0,0.40906729,7697,7,0,2,0,3,"0"
0.025347364,34,0,0.292905272,7568,8,0,1,0,3,"0"
0,56,0,0.727802537,5833,12,0,2,0,0,"0"
0.081114543,53,0,1.005026755,6166,18,0,2,0,3,"0"
0.003593512,43,0,0.198377328,8750,8,0,1,0,1,"0"
0.771573511,63,0,0.777407054,6293,16,0,2,0,0,"0"
0.049672127,68,0,1084,NA,22,0,1,0,0,"0"
0.014800819,58,0,0.003107968,22200,6,0,0,0,0,"0"
0.007266424,72,0,0.180426099,1501,7,0,0,0,0,"0"
0.108629851,75,0,0.026986786,5372,7,0,0,0,0,"0"
0.224978487,52,0,3120,NA,4,0,2,0,0,"0"
0,79,0,735,NA,11,0,1,0,0,"0"
0.813113562,48,0,0.43917793,5400,5,0,1,0,0,"0"
0.004089215,76,0,0.002313354,4754,10,0,0,0,0,"0"
2.094452774,35,0,0.12126839,7000,6,0,0,0,2,"0"
0.089536494,55,0,2975,NA,10,0,2,0,0,"0"
0.93322277,52,1,0.372442184,8258,3,0,1,0,3,"0"
0.217608787,52,0,1381,0,9,0,1,0,0,"0"
0.007385129,89,0,6,NA,6,0,0,0,NA,"0"
0.004497751,89,0,0,NA,1,0,0,0,0,"0"
0.156305221,66,0,0.327031449,5500,11,0,1,0,2,"0"
0.042652994,43,0,0.363688186,7016,7,0,2,0,2,"0"
0.019643492,65,0,0.005804312,2411,6,0,0,0,0,"0"
0.803669118,31,0,0.535541195,7427,9,0,1,0,0,"0"
0.014685479,79,0,0.001618893,10500,14,0,0,0,0,"0"
0.180283239,34,0,0.305923519,4000,10,0,1,0,0,"0"
0.228726137,63,0,173,NA,9,0,0,0,0,"0"
0.059785602,51,0,0.064204737,8908,4,0,0,0,1,"0"
0.555217881,27,0,0.188022897,4541,5,0,0,0,0,"0"
0.024421215,61,0,0.005119181,6250,5,0,0,0,0,"0"
0,45,0,2133,NA,7,0,1,0,1,"0"
0.396891524,48,0,0.258440184,8500,18,0,1,0,0,"0"
0.015014193,79,0,1214,NA,12,0,1,0,NA,"0"
0,38,0,0.099393374,15000,9,0,1,0,5,"0"
0.057691724,50,0,0.352464941,6916,11,0,1,0,1,"0"
0.065886648,40,0,2545,NA,4,0,1,0,0,"0"
0.059429358,82,0,0.005808971,10500,11,0,0,0,0,"0"
0.027560119,78,0,9,NA,3,0,0,0,NA,"0"
0.969147265,60,0,0.464689697,6541,6,1,1,0,0,"0"
0.049973215,40,0,0.005353517,10833,4,0,0,0,0,"0"
0.284746565,50,0,3472,NA,18,0,2,0,3,"0"
0.276894294,57,0,0.464052288,2600,7,0,0,0,0,"0"
0.13859736,32,0,0.119695855,4076,7,0,0,1,0,"0"
0.595995882,52,0,0.543480745,8750,10,0,3,0,2,"0"
0.162551985,51,1,0.379334973,12600,21,0,2,0,1,"0"
0.032592731,47,0,11.11442786,200,3,0,1,0,0,"0"
0.876970768,39,0,0.134162209,6916,10,0,0,0,1,"0"
0.112956211,63,0,0.118503888,8100,6,0,1,0,0,"0"
0.002198504,64,0,2318,NA,6,0,1,0,1,"0"
0.220855929,42,2,0.181303116,6000,10,0,0,0,3,"0"
0.087367835,63,0,0.332109919,10625,11,0,1,0,0,"0"
0.043175929,59,0,0.278846857,13666,25,0,2,0,0,"0"
0,45,0,1246,NA,7,0,1,0,2,"0"
0.019851484,59,0,0.474938373,3650,12,0,3,0,0,"0"
0.673854447,49,0,0.638269101,4436,6,0,2,0,2,"0"
0.969882745,52,0,848,NA,7,0,1,0,0,"0"
0.031431898,62,0,30,NA,4,0,0,0,0,"0"
0.000859021,81,0,0.001764291,2833,12,0,0,0,0,"0"
0.021871813,56,0,0.190924822,5200,7,0,1,0,0,"0"
0.317365269,27,0,0.062897791,2670,1,0,0,0,0,"0"
0.004811958,86,0,1616,NA,5,0,1,0,NA,"0"
1.005428054,28,0,0.304939012,5000,9,0,0,0,0,"0"
0.796166523,45,0,0.485077519,10319,14,0,2,0,4,"0"
0.169652529,32,0,1.08125,959,4,0,1,0,1,"0"
0.038612634,77,0,0.348118524,5500,15,0,2,0,0,"0"
0.744426798,31,1,0.203918433,2500,5,0,0,0,3,"0"
0.9999999,65,1,0.005109976,4500,2,0,0,0,0,"0"
0,68,0,0.053494651,10000,7,0,0,0,1,"0"
0.704831827,49,2,0.619475438,6900,15,0,2,0,1,"0"
0.530412721,61,0,0.4695102,9166,7,0,2,0,0,"0"
0.340439707,23,0,0.018270402,820,2,0,0,0,0,"0"
0.271996769,40,0,0.84376157,2700,17,0,1,0,0,"0"
0.526463138,58,1,0.334642234,4583,9,0,1,1,0,"0"
0.02828941,64,0,0.003306626,7862,5,0,0,0,0,"0"
0.9999999,57,1,0.122238586,4073,1,1,0,0,1,"0"
1.045187528,50,0,0.043478261,6416,10,0,0,0,2,"0"
0.219016616,46,0,0.207758448,5000,19,0,0,0,0,"0"
0.117840366,66,0,1474,NA,12,0,1,0,1,"0"
0.047285617,65,0,314,NA,8,0,0,0,NA,"0"
0,68,1,0,NA,4,0,0,0,0,"0"
0.365447171,34,0,0.315583955,5633,14,0,1,0,1,"0"
0.554461529,65,0,0.162149361,19000,16,0,2,0,1,"0"
0.9999999,44,0,0,3000,4,0,0,0,2,"0"
0.126342815,70,0,0.004655888,11812,4,0,0,0,0,"0"
0.017474073,69,0,1053,NA,15,0,0,0,0,"0"
0.911701416,71,0,1.00184604,5416,13,0,3,0,1,"0"
0.139107634,50,0,0.20362371,8333,11,0,1,0,0,"0"
0.240087996,50,0,0.477502884,7800,4,0,2,0,2,"0"
0.952377976,46,0,1182,NA,4,0,0,0,0,"0"
0.520300666,62,0,2578,NA,19,0,1,0,0,"0"
0.033398664,63,0,28,NA,9,0,0,0,0,"0"
0.05216719,81,0,0.048323371,9870,11,0,1,0,0,"0"
0.144788312,51,1,0.14854957,9410,16,0,0,0,2,"0"
0.381460996,47,0,0.29318542,3154,7,0,0,0,0,"0"
0.273515099,29,0,0.752654591,1600,4,0,0,0,0,"0"
0.154675938,37,0,0.343236333,8212,18,0,1,0,0,"0"
0.001309043,56,0,0.18025634,11000,6,0,1,0,1,"0"
0.080237445,65,0,4198,NA,7,0,3,0,3,"0"
0.605148388,43,1,0.228555103,14000,12,0,2,0,1,"0"
0.069338613,70,0,0.479226838,4500,5,0,2,0,0,"0"
0.154077273,55,0,0.313159101,2180,6,0,2,0,1,"0"
0.389234148,35,0,1.514278858,4166,16,0,2,0,0,"0"
0.9999999,39,0,0.283444387,1950,4,0,0,0,0,"0"
0.9999999,55,0,0.127815315,1775,2,0,0,0,1,"0"
0.040447978,59,0,0.099339431,3935,2,0,0,0,1,"0"
0.86785652,43,1,0.374527642,7144,10,0,2,0,3,"0"
0.9999999,59,1,0.004646713,7316,0,0,0,0,0,"0"
0,31,0,1.184191955,2833,15,0,2,0,0,"0"
0.008449578,64,0,0.317227591,3000,5,0,1,0,0,"0"
0.077188205,57,0,0.007713184,7000,3,0,0,0,1,"0"
0.169991238,41,0,0.105378924,5000,9,0,0,0,1,"0"
0.052349491,60,0,0.637684556,12800,54,0,2,0,2,"0"
0.381677381,49,0,0.801324503,2717,10,0,1,0,1,"0"
0.232568601,86,0,3078,NA,18,0,2,0,1,"0"
0.434228583,28,1,1.051518647,2600,12,0,1,0,3,"0"
0.005859153,66,0,1479,NA,10,0,1,0,0,"0"
0,32,1,0.204212781,2800,9,0,1,0,0,"0"
0.036506528,53,0,0.178757916,9000,9,0,1,0,0,"0"
0.53396065,54,1,0.323590625,11050,19,0,1,0,2,"0"
0.152587565,54,1,0.26442456,6481,4,0,1,0,1,"0"
0.421141689,55,2,1.749283668,697,9,0,1,0,0,"0"
0.32558664,47,0,4350,NA,26,0,2,0,0,"0"
0.093840346,59,0,0.667822893,4900,7,0,2,0,0,"0"
0.303189566,61,0,0.662947399,6900,13,0,3,0,0,"0"
0.1925349,38,0,0.225741941,12500,12,0,2,0,0,"0"
0.886149301,45,0,0.666987025,2080,4,0,1,0,1,"0"
0.684020951,50,0,0.894878706,11500,21,0,3,0,0,"0"
0.031742776,48,0,0.216819282,9500,5,0,1,0,2,"0"
0.202217366,62,1,0.225595346,5500,12,0,0,1,0,"0"
0.330834583,34,2,0.174767322,2900,4,1,0,0,0,"0"
0,45,0,0.324934005,12500,9,0,1,0,3,"0"
0.006456988,40,2,0.423515297,5000,5,0,2,1,0,"0"
0.012917868,43,0,0.392572944,4900,12,0,3,0,0,"0"
0.108037165,44,0,0.467154311,7108,7,0,2,0,0,"0"
0.549548348,44,0,0.603305785,3750,7,0,1,0,1,"0"
0.002946357,68,0,0.281227695,1400,12,0,1,0,0,"0"
1.048252912,36,6,0.285485806,2500,6,1,0,0,2,"0"
0.018051522,71,0,0.03028283,10500,52,0,0,0,0,"0"
0.201578192,25,0,0.276702061,1600,4,0,0,0,0,"0"
0.065250712,27,0,0.340440165,1453,7,0,0,0,0,"0"
0.117515299,31,0,0.070717386,7833,4,0,0,0,0,"0"
1.322356322,31,0,0.485901509,5035,8,0,1,0,0,"0"
0.067630909,62,0,0.360378298,2008,11,0,1,0,0,"0"
0.092190781,58,0,2218,NA,6,0,1,0,2,"0"
0.078912031,50,1,0.596621408,6333,7,0,1,0,0,"0"
0.005802653,42,0,0.001333037,4500,7,0,0,0,0,"0"
0.024103766,88,0,0.170707323,4000,7,0,0,0,0,"0"
0.9999999,45,0,0.20607243,8200,3,0,1,0,0,"0"
0.393354105,55,0,0.45300254,18500,15,0,2,0,1,"0"
0.030848458,68,0,0.065607451,7300,5,0,0,0,1,"0"
0.457863553,53,0,2482,NA,9,0,2,0,0,"0"
0.063587283,29,0,0.041844103,5400,2,0,0,1,2,"0"
0.482250986,28,0,0.167513522,6100,8,0,0,0,1,"0"
0,41,0,0.2426784,7272,8,0,1,0,2,"0"
0.348242613,64,0,0.547933333,14999,23,0,3,0,0,"0"
0.122193034,35,0,2793,NA,7,0,2,0,0,"0"
0.367457186,36,0,0.21627409,1400,3,0,0,0,1,"0"
0.754172756,48,0,0.568279936,4400,6,0,2,0,0,"0"
0.81976524,41,0,0.39187178,8734,10,0,2,0,5,"0"
0.0081577,62,0,0.117080265,11000,17,0,1,0,0,"0"
0.006726696,67,0,0.202561118,11166,17,0,2,0,1,"0"
0.168333227,64,0,0.349041096,7299,5,0,1,0,1,"0"
0.22550045,54,0,0.412764539,6000,8,0,1,0,0,"0"
0.040139197,54,0,1597,NA,10,0,1,0,0,"0"
0.9999999,79,0,0,9301,2,0,0,0,0,"0"
0.37504998,64,0,0.011195522,2500,4,0,0,0,0,"0"
5.39e-05,37,1,0.19848346,12000,18,0,2,0,1,"0"
0.676320485,47,0,0.895685878,5933,13,0,4,0,1,"0"
0.269640108,35,0,0.420441921,8100,12,0,2,0,0,"0"
0.069606401,81,0,62,NA,7,0,0,0,0,"0"
0.9999999,47,2,0.603099225,4000,2,0,1,1,1,"0"
0.013207298,79,0,0.188362328,5000,7,0,1,0,0,"0"
0,54,0,2138,NA,9,0,1,0,0,"0"
0.065345798,62,0,0.162893816,8569,7,0,1,0,0,"0"
0.300757663,59,0,0.295924574,3287,6,0,1,0,0,"0"
0.069081414,77,0,0.016225448,4683,4,0,0,0,0,"0"
1039,65,0,0.115700512,8400,3,0,2,0,0,"0"
0.000146786,83,0,0.139577039,1654,6,0,1,0,0,"0"
0.002763097,44,0,492,NA,9,0,1,0,0,"0"
0.022296963,55,0,393,NA,6,0,0,0,1,"0"
0.131156284,58,0,0.4801263,5383,14,0,2,0,0,"0"
0.102089791,37,0,0.161010678,9458,8,0,1,0,2,"0"
0.138749366,46,0,0.476795005,4804,10,0,1,0,0,"0"
0.487347704,27,1,1163,0,7,0,1,0,0,"0"
0.953046953,28,0,0.170471588,6000,10,0,0,1,0,"0"
0.69500569,60,0,0.480816234,17592,11,0,2,1,0,"0"
0.007836415,71,0,1052,NA,15,0,1,0,0,"0"
0.009064531,54,0,0.003272557,10694,6,0,0,0,1,"0"
0.006684564,50,0,3191,NA,11,0,2,0,3,"0"
0,30,0,0.251437141,4000,4,0,0,0,0,"0"
0.415362137,40,1,0.302224815,12000,10,0,2,0,3,"0"
0.9999999,53,0,11,NA,1,2,0,0,NA,"0"
0.157335454,75,1,0.419222904,4400,22,0,2,0,0,"0"
0.012434279,56,0,1884,NA,16,0,2,0,1,"0"
0.011987955,45,0,0.24245959,6000,4,0,2,0,0,"0"
0.424287768,63,0,0.448775527,11800,16,0,2,3,2,"0"
0.08055286,56,1,0.406656192,7000,8,0,2,0,0,"0"
0.067512585,43,0,0.44723563,9115,4,0,2,0,0,"0"
0.007630575,33,2,411,NA,2,0,0,0,0,"0"
0.174475699,58,0,0.271937202,10700,19,0,1,0,1,"0"
0,62,0,0.677093845,1981,10,0,1,0,0,"0"
0.064122856,78,0,0.493835388,3000,14,0,1,0,0,"0"
0.322795341,36,1,0.191890947,2860,5,0,0,0,0,"0"
0.073567646,64,0,0.341530864,10124,11,0,3,0,1,"0"
0.140185568,42,0,0.360829896,8000,9,0,1,2,1,"0"
0.9999999,31,0,0.344456943,8000,5,0,2,0,1,"0"
0.016099831,49,1,0.228936316,11666,23,0,2,0,2,"0"
0.017749113,73,0,2517,NA,8,0,1,0,0,"0"
0.019957697,63,0,0.116181411,3571,4,0,0,0,0,"0"
0.042669043,40,0,0.369005153,5045,8,0,1,0,1,"0"
0.746003941,43,0,1.44638404,400,3,0,1,0,0,"0"
0,46,0,0.488585236,6000,7,0,2,0,2,"0"
0.180280146,47,0,0.02849715,10000,4,0,0,0,5,"0"
0.20223306,70,2,0.657354741,41666,22,0,5,0,1,"0"
0.908241545,52,0,0.644922426,2835,9,2,2,0,1,"0"
0.184368497,54,0,0.430959874,5083,13,0,2,0,3,"0"
0.311684416,48,0,0.753678694,4960,5,0,2,0,1,"0"
0.847098734,48,0,0.58721908,6540,9,0,0,0,2,"0"
0.01806664,35,1,0.198114555,7000,11,0,1,0,1,"0"
0.003811909,50,0,0.362583537,24090,27,0,5,0,1,"0"
0.046981825,63,0,2329,NA,7,0,1,0,0,"0"
0.005359571,80,0,2,NA,2,0,0,0,NA,"0"
0.9999999,58,0,0.004090537,3666,2,0,0,0,0,"0"
0.060053711,33,0,0.12599319,6166,12,0,0,0,0,"0"
0,56,0,0.157825153,6050,7,0,1,0,1,"0"
0.293221366,33,1,0.299581894,5500,7,0,0,1,0,"0"
0.716602122,47,1,2696,NA,12,0,2,0,1,"0"
0.879832904,51,0,0.200137433,5820,3,0,0,0,0,"0"
0.424668311,57,0,0.559122525,3737,13,1,1,0,0,"0"
0.021408248,76,0,0.00733089,3000,5,0,0,0,0,"0"
0,37,0,0.236775393,5916,9,0,1,0,0,"0"
0.021287498,59,0,0.026835043,3800,11,0,0,0,2,"0"
0.007675401,53,0,0.004928806,3651,9,0,0,0,0,"0"
0.216731793,50,0,0.264824892,7166,9,0,3,0,3,"0"
0.841100244,65,0,2399,NA,9,0,1,0,0,"0"
0.9999999,29,98,0,NA,0,98,0,98,0,"0"
0.299323356,43,0,2821,NA,6,0,1,0,0,"0"
0.596340366,31,1,0.373588457,6375,9,0,2,0,0,"0"
0.033937941,53,0,0.338018512,5833,16,0,2,0,0,"0"
0.863654538,28,0,0.171306747,3986,3,0,0,0,0,"0"
0.812873258,85,0,0.790345616,3500,26,0,1,0,0,"0"
0.03868472,64,0,653,NA,7,0,1,0,0,"0"
0,68,0,0.162972621,2300,6,0,0,0,0,"0"
0.02820583,64,0,1150,NA,11,0,1,0,0,"0"
