Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;4.3;3.0;1.1;0.1;Iris-setosa
7;4.4;3.0;1.3;0.2;Iris-setosa
8;4.4;3.2;1.3;0.2;Iris-setosa
11;4.4;;1.4;0.2;Iris-setosa
30;4.5;2.3;1.3;0.3;Iris-setosa
13;4.6;3.2;1.4;0.2;Iris-setosa
19;4.6;3.1;1.5;0.2;Iris-setosa
33;4.6;3.4;1.4;;Iris-setosa
9;4.7;3.2;1.3;0.2;Iris-setosa
25;4.7;3.2;1.6;0.2;Iris-setosa
2;4.8;3.0;1.4;0.1;Iris-setosa
24;4.8;3.1;1.6;0.2;Iris-setosa
26;4.8;3.4;1.6;0.2;Iris-setosa
29;4.8;3.4;1.9;0.2;Iris-setosa
32;;3.0;1.4;0.3;Iris-setosa
3;4.9;3.1;1.5;0.1;Iris-setosa
4;4.9;3.1;1.5;0.1;Iris-setosa
5;4.9;3.1;1.5;0.1;Iris-setosa
12;4.9;3.0;1.4;0.2;Iris-setosa
79;4.9;2.4;3.3;1.0;Iris-versicolor
94;4.9;2.5;4.5;1.7;Iris-virginica
14;5.0;3.3;1.4;0.2;Iris-setosa
17;5.0;3.6;1.4;0.2;Iris-setosa
20;5.0;3.4;1.5;0.2;Iris-setosa
23;5.0;3.0;1.6;0.2;Iris-setosa
31;5.0;;1.3;0.3;Iris-setosa
39;5.0;3.4;1.6;0.4;Iris-setosa
43;5.0;3.5;1.6;0.6;Iris-setosa
78;5.0;2.3;3.3;1.0;Iris-versicolor
80;5.0;2.0;3.5;1.0;Iris-versicolor
16;5.1;3.5;1.4;0.2;Iris-setosa
21;5.1;3.4;1.5;0.2;Iris-setosa
27;5.1;3.8;1.6;0.2;Iris-setosa
34;5.1;3.5;1.4;0.3;Iris-setosa
35;5.1;3.8;1.5;0.3;Iris-setosa
38;5.1;3.7;1.5;0.4;Iris-setosa
41;5.1;3.8;1.9;0.4;Iris-setosa
42;5.1;3.3;1.7;0.5;Iris-setosa
85;5.1;2.5;3.0;1.1;Iris-versicolor
6;5.2;4.1;1.5;0.1;Iris-setosa
15;5.2;3.4;;0.2;Iris-setosa
22;5.2;3.5;1.5;0.2;Iris-setosa
28;5.4;3.4;1.7;0.2;Iris-setosa
36;5.4;3.9;1.3;0.4;Iris-setosa
37;5.4;3.4;1.5;0.4;Iris-setosa
40;5.4;3.9;1.7;0.4;Iris-setosa
66;5.4;3.0;4.5;1.5;Iris-versicolor
10;5.5;3.5;1.3;0.2;Iris-setosa
18;;4.2;1.4;0.2;Iris-setosa
49;5.5;2.6;4.4;1.2;Iris-versicolor
50;5.5;2.5;4.0;1.3;Iris-versicolor
